police_call_crime,police_call_address_display,police_call_city,police_call_agency,police_call_date,police_call_time_display
Larceny,200 block Crippen Av,Syracuse,Syracuse,5/28/2018,12:02 a.m.
Aggravated assault,1 block Destiny Usa Dr,Syracuse,Syracuse,5/27/2018,4:47 p.m.
Burglary,100 block Lydell St,Syracuse,Syracuse,5/27/2018,2:18 a.m.-2:24 a.m.
Larceny,400 block Erie Blvd E,Syracuse,Syracuse,5/27/2018,8:40 a.m.
Larceny,200 block Amherst Av,Syracuse,Syracuse,5/27/2018,10:42 a.m.
Larceny,400 block Erie Blvd E,Syracuse,Syracuse,5/27/2018,1:46 p.m.
Vehicle theft,300 block Roosevelt Av,Syracuse,Syracuse,5/27/2018,2:00 a.m.-7:00 a.m.
Vehicle theft,200 block Ivy Ridge Rd,Syracuse,Syracuse,5/27/2018,6:45 p.m.
Aggravated assault,700 block E  Adams St,Syracuse,Syracuse,5/26/2018,12:11 a.m.
Aggravated assault,200 block Sterling Av,Syracuse,Syracuse,5/26/2018,12:30 a.m.
Aggravated assault,100 block Fenway Dr,Syracuse,Syracuse,5/26/2018,5:30 p.m.
Aggravated assault,100 block Ballantyne Rd,Syracuse,Syracuse,5/26/2018,6:30 p.m.
Burglary,4300 block Hepatica Hill Rd,Manlius,Onondaga County,5/26/2018,11:00 p.m.-5:00 a.m.
Burglary,200 block Kensington Pl,Syracuse,Syracuse,5/26/2018,9:59 a.m.
Burglary,1100 block Sidney St,Syracuse,Camillus,5/26/2018,1:13 p.m.
Larceny,5300 block W Genesee St,Camillus,Onondaga County,5/26/2018,12:55 p.m.
Larceny,8100 block Trillium Trl,Manlius,Onondaga County,5/26/2018,12:00 a.m.-8:15 a.m.
Larceny,4300 block Trout Lilly Ln,Manlius,Onondaga County,5/26/2018,11:00 p.m.-8:30 a.m.
Larceny,4300 block Trout Lilly Ln,Manlius,Onondaga County,5/26/2018,10:00 p.m.-10:29 a.m.
Larceny,4300 block Winding Creek Rd,Manlius,Onondaga County,5/26/2018,11:00 p.m.-11:24 a.m.
Larceny,400 block Butternut St,Syracuse,Syracuse,5/26/2018,10:13 a.m.
Larceny,100 block W  Seneca Tpke,Syracuse,Syracuse,5/26/2018,10:23 p.m.
Robbery,200 block Rich St,Syracuse,Syracuse,5/26/2018,4:56 a.m.
Robbery,600 block Pond St,Syracuse,Syracuse,5/26/2018,9:15 a.m.
Robbery,400 block Richmond Av,Syracuse,Syracuse,5/26/2018,7:00 p.m.
Vehicle theft,100 block Lincoln Ave,Syracuse,Syracuse,5/26/2018,12:30 a.m.
Vehicle theft,100 block Newbury Hollow Ln,Syracuse,Syracuse,5/26/2018,5:00 p.m.-10:30 a.m.
Aggravated assault,300 block Prospect Av,Syracuse,Syracuse,5/25/2018,12:16 a.m.
Aggravated assault,100 block Wood Av,Syracuse,Syracuse,5/25/2018,6:55 p.m.
Aggravated assault,3000 block Erie Blvd E,Syracuse,Syracuse,5/25/2018,9:22 p.m.
Burglary,100 block Shop City Plz,Syracuse,Onondaga County,5/25/2018,5:45 a.m.
Burglary,200 block Lemoyne Av,Syracuse,Syracuse,5/25/2018,8:00 a.m.-6:30 a.m.
Burglary,1000 block Highland St,Syracuse,Syracuse,5/25/2018,9:00 p.m.-9:30 a.m.
Burglary,0 block Ball Rd,Syracuse,Onondaga County,5/25/2018,4:38 p.m.
Larceny,300 block Schaffer Av,Syracuse,Onondaga County,5/25/2018,1:00 a.m.-5:00 a.m.
Larceny,800 block N  State St,Syracuse,Syracuse,5/25/2018,2:14 p.m.
Robbery,1600 block N  Salina St,Syracuse,Syracuse,5/25/2018,3:38 a.m.
Robbery,300 block Beecher St,Syracuse,Syracuse,5/25/2018,8:35 p.m.-8:38 p.m.
Aggravated assault,100 block Valley View Dr,Syracuse,Syracuse,5/24/2018,11:01 a.m.
Aggravated assault,100 block Marvin Rd,Syracuse,Syracuse,5/24/2018,10:49 p.m.
Burglary,100 block White St,Syracuse,Syracuse,5/24/2018,8:04 a.m.
Burglary,200 block Bryant Av,Syracuse,Syracuse,5/24/2018,6:00 a.m.-6:00 p.m.
Burglary,300 block Gertrude St,Syracuse,Syracuse,5/24/2018,7:39 p.m.
Larceny,400 block Kenwick Dr,Syracuse,Onondaga County,5/24/2018,1:47 a.m.
Larceny,1000 block N  State St,Syracuse,Syracuse,5/24/2018,10:57 a.m.
Larceny,2100 block W Genesee St,Syracuse,Solvay,5/24/2018,2:21 p.m.
Larceny,2200 block Brewerton Rd,Syracuse,Onondaga County,5/24/2018,6:59 p.m.
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,5/24/2018,9:08 p.m.
Robbery,900 block S  Salina St,Syracuse,Syracuse,5/24/2018,11:32 a.m.
Robbery,500 block Bellevue Av,Syracuse,Syracuse,5/24/2018,10:36 p.m.
Aggravated assault,300 block Tompkins St,Syracuse,Syracuse,5/23/2018,3:23 p.m.
Aggravated assault,1100 block Teall Av,Syracuse,Syracuse,5/23/2018,5:15 p.m.
Aggravated assault,300 block John St,Syracuse,Syracuse,5/23/2018,9:07 p.m.
Aggravated assault,100 block Hood Av,Syracuse,Syracuse,5/23/2018,11:10 p.m.-11:14 p.m.
Larceny,9500 block Neva Ln,Brewerton,Cicero,5/23/2018,6:43 p.m.
Larceny,7700 block Deerfield Rd,Liverpool,Onondaga County,5/23/2018,9:30 p.m.-11:58 p.m.
Larceny,0 block State St,Skaneateles,Skaneateles,5/23/2018,8:14 p.m.
Larceny,1800 block Teall Av,Syracuse,Syracuse,5/23/2018,7:40 a.m.
Larceny,400 block Cherry St,Syracuse,Syracuse,5/23/2018,8:08 a.m.
Larceny,100 block Glahn Av,Syracuse,Syracuse,5/23/2018,6:30 a.m.-3:21 p.m.
Larceny,300 block S  Salina St,Syracuse,Syracuse,5/23/2018,5:08 p.m.
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,5/23/2018,7:47 p.m.
Larceny,200 block Herald Pl,Syracuse,Syracuse,5/23/2018,8:00 p.m.-7:30 a.m.
Larceny,100 block Harvard Pl,Syracuse,Syracuse,5/23/2018,12:00 p.m.-10:00 a.m.
Larceny,700 block Euclid Av,Syracuse,Syracuse,5/23/2018,10:00 p.m.-9:00 a.m.
Larceny,1500 block Lemoyne Av,Syracuse,Syracuse,5/23/2018,3:00 p.m.-4:00 p.m.
Larceny,300 block Oswego St,Syracuse,Syracuse,5/23/2018,3:20 p.m.-3:30 p.m.
Vehicle theft,300 block Furman St,Syracuse,Syracuse,5/23/2018,12:28 p.m.
Aggravated assault,300 block S  Warren St,Syracuse,Syracuse,5/22/2018,7:50 p.m.
Aggravated assault,100 block Roney Ln,Syracuse,Syracuse,5/22/2018,11:29 p.m.
Burglary,300 block Towne Dr,Fayetteville,Manlius,5/22/2018,9:03 a.m.
Larceny,7900 block Brewerton Rd,Cicero,Cicero,5/22/2018,5:07 p.m.
Larceny,3300 block W Genesee St,Syracuse,Geddes,5/22/2018,1:52 a.m.
Larceny,600 block Ash St,Syracuse,Syracuse,5/22/2018,10:20 a.m.-7:04 a.m.
Larceny,700 block N  Salina St,Syracuse,Syracuse,5/22/2018,9:27 a.m.
Larceny,600 block South Av,Syracuse,Syracuse,5/22/2018,9:53 a.m.
Larceny,500 block Montgomery St,Syracuse,Onondaga County,5/22/2018,12:10 p.m.
Larceny,2200 block W Genesee St,Syracuse,Solvay,5/22/2018,12:15 p.m.
Larceny,500 block Wolf St,Syracuse,Syracuse,5/22/2018,1:48 p.m.
Larceny,400 block S  Beech St,Syracuse,Syracuse,5/22/2018,3:23 p.m.
Larceny,1500 block Teall Av,Syracuse,Syracuse,5/22/2018,4:28 p.m.
Robbery,100 block Wood Av,Syracuse,Syracuse,5/22/2018,10:42 p.m.
Vehicle theft,100 block W  Pleasant Av,Syracuse,Syracuse,5/22/2018,7:15 p.m.
Aggravated assault,3700 block Milton Av,Camillus,Camillus,5/21/2018,4:53 p.m.
Aggravated assault,700 block E  Adams St,Syracuse,Syracuse,5/21/2018,1:40 a.m.
Aggravated assault,0 block 690 Eb,Syracuse,Syracuse,5/21/2018,8:00 p.m.-8:10 p.m.
Aggravated assault,100 block Smith Ln,Syracuse,Syracuse,5/21/2018,11:32 p.m.
Aggravated assault,400 block S  Midler Av,Syracuse,Syracuse,5/21/2018,11:58 p.m.
Arson,200 block W  Calthrop Av,Syracuse,Syracuse,5/21/2018,1:08 a.m.-1:18 a.m.
Burglary,8400 block Oswego Rd,Liverpool,Onondaga County,5/21/2018,9:39 a.m.
Larceny,0 block E Genesee St,Baldwinsville,Baldwinsville,5/21/2018,11:30 a.m.
