date,geoid,tpop,apop,wpop,prop,child_lead_aprc,crime_mprc,ela_fail_aprc,ela_pov_fail_aprc,larceny_mprc,wages_qprc,ta_case_mprc,ta_inds_mprc,unemployment_mprc,vacancy_qprc,index
2014-01-01,36067000100,644,448,352,NA,NA,NA,5,50,NA,NA,NA,NA,NA,NA,50
2014-01-01,36067000200,3042,1919,1370,NA,NA,NA,8.71,91.139,NA,NA,NA,NA,NA,NA,91.139
2014-01-01,36067000300,1635,1048,778,NA,NA,NA,5.38,60,NA,NA,NA,NA,NA,NA,60
2014-01-01,36067000400,3402,2323,1655,NA,NA,NA,7.68,81.395,NA,NA,NA,NA,NA,NA,81.395
2014-01-01,36067000501,2156,1372,745,NA,NA,NA,9.22,91.837,NA,NA,NA,NA,NA,NA,91.837
2014-01-01,36067000600,3716,2514,1472,NA,NA,NA,8.55,86.667,NA,NA,NA,NA,NA,NA,86.667
2014-01-01,36067000700,1624,1220,862,NA,NA,NA,7.66,71.429,NA,NA,NA,NA,NA,NA,71.429
2014-01-01,36067000800,2726,1693,1289,NA,NA,NA,7.94,80,NA,NA,NA,NA,NA,NA,80
2014-01-01,36067000900,3019,2067,1662,NA,NA,NA,6.18,78.571,NA,NA,NA,NA,NA,NA,78.571
2014-01-01,36067001000,4464,2586,1763,NA,NA,NA,8.28,85.417,NA,NA,NA,NA,NA,NA,85.417
2014-01-01,36067001400,3765,1883,1009,NA,NA,NA,9.09,90.526,NA,NA,NA,NA,NA,NA,90.526
2014-01-01,36067001500,3125,1973,1192,NA,NA,NA,8.84,89.888,NA,NA,NA,NA,NA,NA,89.888
2014-01-01,36067001600,3130,1910,1105,NA,NA,NA,8.64,85,NA,NA,NA,NA,NA,NA,85
2014-01-01,36067001701,2553,1523,1010,NA,NA,NA,8.93,90.769,NA,NA,NA,NA,NA,NA,90.769
2014-01-01,36067001702,2305,1581,1301,NA,NA,NA,7.93,92.105,NA,NA,NA,NA,NA,NA,92.105
2014-01-01,36067001800,2712,1981,1548,NA,NA,NA,7.55,78.788,NA,NA,NA,NA,NA,NA,78.788
2014-01-01,36067001900,3755,2596,2025,NA,NA,NA,8.5,79.167,NA,NA,NA,NA,NA,NA,79.167
2014-01-01,36067002000,2037,1501,1002,NA,NA,NA,8.87,93.023,NA,NA,NA,NA,NA,NA,93.023
2014-01-01,36067002101,3072,1894,1146,NA,NA,NA,9.42,95,NA,NA,NA,NA,NA,NA,95
2014-01-01,36067002300,1684,1180,657,NA,NA,NA,9.03,89.655,NA,NA,NA,NA,NA,NA,89.655
2014-01-01,36067002400,1930,1213,798,NA,NA,NA,9.4,93.75,NA,NA,NA,NA,NA,NA,93.75
2014-01-01,36067002700,2010,1528,1080,NA,NA,NA,8.33,86.364,NA,NA,NA,NA,NA,NA,86.364
2014-01-01,36067002901,2745,2111,1850,NA,NA,NA,9.44,93.333,NA,NA,NA,NA,NA,NA,93.333
2014-01-01,36067003000,1827,1230,621,NA,NA,NA,9.45,94.521,NA,NA,NA,NA,NA,NA,94.521
2014-01-01,36067003200,2428,2255,970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-01-01,36067003400,1213,907,486,NA,NA,NA,9.09,88.889,NA,NA,NA,NA,NA,NA,88.889
2014-01-01,36067003500,2291,1514,926,NA,NA,NA,8.85,93.75,NA,NA,NA,NA,NA,NA,93.75
2014-01-01,36067003601,2333,1563,984,NA,NA,NA,8.5,83.333,NA,NA,NA,NA,NA,NA,83.333
2014-01-01,36067003602,2215,1513,1130,NA,NA,NA,7.33,80.769,NA,NA,NA,NA,NA,NA,80.769
2014-01-01,36067003800,2431,1569,868,NA,NA,NA,9.26,91.071,NA,NA,NA,NA,NA,NA,91.071
2014-01-01,36067003900,3267,1945,997,NA,NA,NA,9.63,97.015,NA,NA,NA,NA,NA,NA,97.015
2014-01-01,36067004000,1803,1168,635,NA,NA,NA,9.33,92.308,NA,NA,NA,NA,NA,NA,92.308
2014-01-01,36067004200,2203,1177,691,NA,NA,NA,9.58,95.833,NA,NA,NA,NA,NA,NA,95.833
2014-01-01,36067004301,1592,1294,467,NA,NA,NA,10,100,NA,NA,NA,NA,NA,NA,100
2014-01-01,36067004302,6462,6215,1944,NA,NA,NA,10,100,NA,NA,NA,NA,NA,NA,100
2014-01-01,36067004400,2047,1815,930,NA,NA,NA,2.5,100,NA,NA,NA,NA,NA,NA,100
2014-01-01,36067004500,4144,3473,2353,NA,NA,NA,5.42,78.571,NA,NA,NA,NA,NA,NA,78.571
2014-01-01,36067004600,5129,3221,2267,NA,NA,NA,7.07,83.333,NA,NA,NA,NA,NA,NA,83.333
2014-01-01,36067004800,1602,974,775,NA,NA,NA,7.08,100,NA,NA,NA,NA,NA,NA,100
2014-01-01,36067004900,1409,786,499,NA,NA,NA,7.96,84.375,NA,NA,NA,NA,NA,NA,84.375
2014-01-01,36067005000,2662,1761,1489,NA,NA,NA,6.25,76.923,NA,NA,NA,NA,NA,NA,76.923
2014-01-01,36067005100,2119,1355,831,NA,NA,NA,9.4,93.75,NA,NA,NA,NA,NA,NA,93.75
2014-01-01,36067005200,2075,1323,708,NA,NA,NA,9.68,96.429,NA,NA,NA,NA,NA,NA,96.429
2014-01-01,36067005300,2004,998,476,NA,NA,NA,8.82,89.062,NA,NA,NA,NA,NA,NA,89.062
2014-01-01,36067005400,2842,1819,1051,NA,NA,NA,9.53,94.937,NA,NA,NA,NA,NA,NA,94.937
2014-01-01,36067005500,3337,2584,1732,NA,NA,NA,9.22,90.741,NA,NA,NA,NA,NA,NA,90.741
2014-01-01,36067005601,1399,969,754,NA,NA,NA,2,75,NA,NA,NA,NA,NA,NA,75
2014-01-01,36067005602,4178,4171,1519,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,100
2014-01-01,36067005700,1846,1200,911,NA,NA,NA,8.57,93.333,NA,NA,NA,NA,NA,NA,93.333
2014-01-01,36067005800,2569,1622,918,NA,NA,NA,9.5,94.737,NA,NA,NA,NA,NA,NA,94.737
2014-01-01,36067005900,1713,1110,617,NA,NA,NA,9.56,95.161,NA,NA,NA,NA,NA,NA,95.161
2014-01-01,36067006000,3763,2545,1700,NA,NA,NA,8.62,84.906,NA,NA,NA,NA,NA,NA,84.906
2014-01-01,36067006101,4017,2088,1275,NA,NA,NA,8.89,87.5,NA,NA,NA,NA,NA,NA,87.5
2014-01-01,36067006102,1798,1114,625,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,0
2014-01-01,36067006103,2595,1680,1327,NA,NA,NA,8,87.5,NA,NA,NA,NA,NA,NA,87.5
2014-01-01,monthly_total,144564,99022,61147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
2014-02-01,36067000100,644,448,352,NA,NA,NA,5,50,NA,NA,NA,NA,NA,NA,50
2014-02-01,36067000200,3042,1919,1370,NA,NA,NA,8.71,91.139,NA,NA,NA,NA,NA,NA,91.139
2014-02-01,36067000300,1635,1048,778,NA,NA,NA,5.38,60,NA,NA,NA,NA,NA,NA,60
2014-02-01,36067000400,3402,2323,1655,NA,NA,NA,7.68,81.395,NA,NA,NA,NA,NA,NA,81.395
2014-02-01,36067000501,2156,1372,745,NA,NA,NA,9.22,91.837,NA,NA,NA,NA,NA,NA,91.837
2014-02-01,36067000600,3716,2514,1472,NA,NA,NA,8.55,86.667,NA,NA,NA,NA,NA,NA,86.667
2014-02-01,36067000700,1624,1220,862,NA,NA,NA,7.66,71.429,NA,NA,NA,NA,NA,NA,71.429
2014-02-01,36067000800,2726,1693,1289,NA,NA,NA,7.94,80,NA,NA,NA,NA,NA,NA,80
2014-02-01,36067000900,3019,2067,1662,NA,NA,NA,6.18,78.571,NA,NA,NA,NA,NA,NA,78.571
2014-02-01,36067001000,4464,2586,1763,NA,NA,NA,8.28,85.417,NA,NA,NA,NA,NA,NA,85.417
2014-02-01,36067001400,3765,1883,1009,NA,NA,NA,9.09,90.526,NA,NA,NA,NA,NA,NA,90.526
2014-02-01,36067001500,3125,1973,1192,NA,NA,NA,8.84,89.888,NA,NA,NA,NA,NA,NA,89.888
2014-02-01,36067001600,3130,1910,1105,NA,NA,NA,8.64,85,NA,NA,NA,NA,NA,NA,85
2014-02-01,36067001701,2553,1523,1010,NA,NA,NA,8.93,90.769,NA,NA,NA,NA,NA,NA,90.769
2014-02-01,36067001702,2305,1581,1301,NA,NA,NA,7.93,92.105,NA,NA,NA,NA,NA,NA,92.105
2014-02-01,36067001800,2712,1981,1548,NA,NA,NA,7.55,78.788,NA,NA,NA,NA,NA,NA,78.788
2014-02-01,36067001900,3755,2596,2025,NA,NA,NA,8.5,79.167,NA,NA,NA,NA,NA,NA,79.167
2014-02-01,36067002000,2037,1501,1002,NA,NA,NA,8.87,93.023,NA,NA,NA,NA,NA,NA,93.023
2014-02-01,36067002101,3072,1894,1146,NA,NA,NA,9.42,95,NA,NA,NA,NA,NA,NA,95
2014-02-01,36067002300,1684,1180,657,NA,NA,NA,9.03,89.655,NA,NA,NA,NA,NA,NA,89.655
2014-02-01,36067002400,1930,1213,798,NA,NA,NA,9.4,93.75,NA,NA,NA,NA,NA,NA,93.75
2014-02-01,36067002700,2010,1528,1080,NA,NA,NA,8.33,86.364,NA,NA,NA,NA,NA,NA,86.364
2014-02-01,36067002901,2745,2111,1850,NA,NA,NA,9.44,93.333,NA,NA,NA,NA,NA,NA,93.333
2014-02-01,36067003000,1827,1230,621,NA,NA,NA,9.45,94.521,NA,NA,NA,NA,NA,NA,94.521
2014-02-01,36067003200,2428,2255,970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-02-01,36067003400,1213,907,486,NA,NA,NA,9.09,88.889,NA,NA,NA,NA,NA,NA,88.889
2014-02-01,36067003500,2291,1514,926,NA,NA,NA,8.85,93.75,NA,NA,NA,NA,NA,NA,93.75
2014-02-01,36067003601,2333,1563,984,NA,NA,NA,8.5,83.333,NA,NA,NA,NA,NA,NA,83.333
2014-02-01,36067003602,2215,1513,1130,NA,NA,NA,7.33,80.769,NA,NA,NA,NA,NA,NA,80.769
2014-02-01,36067003800,2431,1569,868,NA,NA,NA,9.26,91.071,NA,NA,NA,NA,NA,NA,91.071
2014-02-01,36067003900,3267,1945,997,NA,NA,NA,9.63,97.015,NA,NA,NA,NA,NA,NA,97.015
2014-02-01,36067004000,1803,1168,635,NA,NA,NA,9.33,92.308,NA,NA,NA,NA,NA,NA,92.308
2014-02-01,36067004200,2203,1177,691,NA,NA,NA,9.58,95.833,NA,NA,NA,NA,NA,NA,95.833
2014-02-01,36067004301,1592,1294,467,NA,NA,NA,10,100,NA,NA,NA,NA,NA,NA,100
2014-02-01,36067004302,6462,6215,1944,NA,NA,NA,10,100,NA,NA,NA,NA,NA,NA,100
2014-02-01,36067004400,2047,1815,930,NA,NA,NA,2.5,100,NA,NA,NA,NA,NA,NA,100
2014-02-01,36067004500,4144,3473,2353,NA,NA,NA,5.42,78.571,NA,NA,NA,NA,NA,NA,78.571
2014-02-01,36067004600,5129,3221,2267,NA,NA,NA,7.07,83.333,NA,NA,NA,NA,NA,NA,83.333
2014-02-01,36067004800,1602,974,775,NA,NA,NA,7.08,100,NA,NA,NA,NA,NA,NA,100
2014-02-01,36067004900,1409,786,499,NA,NA,NA,7.96,84.375,NA,NA,NA,NA,NA,NA,84.375
2014-02-01,36067005000,2662,1761,1489,NA,NA,NA,6.25,76.923,NA,NA,NA,NA,NA,NA,76.923
2014-02-01,36067005100,2119,1355,831,NA,NA,NA,9.4,93.75,NA,NA,NA,NA,NA,NA,93.75
2014-02-01,36067005200,2075,1323,708,NA,NA,NA,9.68,96.429,NA,NA,NA,NA,NA,NA,96.429
2014-02-01,36067005300,2004,998,476,NA,NA,NA,8.82,89.062,NA,NA,NA,NA,NA,NA,89.062
2014-02-01,36067005400,2842,1819,1051,NA,NA,NA,9.53,94.937,NA,NA,NA,NA,NA,NA,94.937
2014-02-01,36067005500,3337,2584,1732,NA,NA,NA,9.22,90.741,NA,NA,NA,NA,NA,NA,90.741
2014-02-01,36067005601,1399,969,754,NA,NA,NA,2,75,NA,NA,NA,NA,NA,NA,75
2014-02-01,36067005602,4178,4171,1519,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,100
2014-02-01,36067005700,1846,1200,911,NA,NA,NA,8.57,93.333,NA,NA,NA,NA,NA,NA,93.333
2014-02-01,36067005800,2569,1622,918,NA,NA,NA,9.5,94.737,NA,NA,NA,NA,NA,NA,94.737
2014-02-01,36067005900,1713,1110,617,NA,NA,NA,9.56,95.161,NA,NA,NA,NA,NA,NA,95.161
2014-02-01,36067006000,3763,2545,1700,NA,NA,NA,8.62,84.906,NA,NA,NA,NA,NA,NA,84.906
2014-02-01,36067006101,4017,2088,1275,NA,NA,NA,8.89,87.5,NA,NA,NA,NA,NA,NA,87.5
2014-02-01,36067006102,1798,1114,625,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,0
2014-02-01,36067006103,2595,1680,1327,NA,NA,NA,8,87.5,NA,NA,NA,NA,NA,NA,87.5
2014-02-01,monthly_total,144564,99022,61147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
2014-03-01,36067000100,644,448,352,NA,NA,NA,5,50,NA,NA,NA,NA,NA,NA,50
2014-03-01,36067000200,3042,1919,1370,NA,NA,NA,8.71,91.139,NA,NA,NA,NA,NA,NA,91.139
2014-03-01,36067000300,1635,1048,778,NA,NA,NA,5.38,60,NA,NA,NA,NA,NA,NA,60
2014-03-01,36067000400,3402,2323,1655,NA,NA,NA,7.68,81.395,NA,NA,NA,NA,NA,NA,81.395
2014-03-01,36067000501,2156,1372,745,NA,NA,NA,9.22,91.837,NA,NA,NA,NA,NA,NA,91.837
2014-03-01,36067000600,3716,2514,1472,NA,NA,NA,8.55,86.667,NA,NA,NA,NA,NA,NA,86.667
2014-03-01,36067000700,1624,1220,862,NA,NA,NA,7.66,71.429,NA,NA,NA,NA,NA,NA,71.429
2014-03-01,36067000800,2726,1693,1289,NA,NA,NA,7.94,80,NA,NA,NA,NA,NA,NA,80
2014-03-01,36067000900,3019,2067,1662,NA,NA,NA,6.18,78.571,NA,NA,NA,NA,NA,NA,78.571
