Month,GEOID,Tract,Total Pop.,Adult Pop.,Working Pop.,Properties,Child Lead Poison Rate,Other Crime per Capita,G3 ELA Failure Rate,"ELA Failure Rate, Impoverished",Larceny per Capita,Mean Wages v. County,Temp. Assist Cases per Working Population,Temp. Assist Individuals per Working Population,Unemployed Population,Parcels with Vacancies,Index Score
2014-01-01,36067000100,1.00,644,448,352,,,,5,5,,,,,,,5
2014-01-01,36067000200,2.00,3042,1919,1370,,,,8.71,9.114,,,,,,,9.114
2014-01-01,36067000300,3.00,1635,1048,778,,,,5.385,6,,,,,,,6
2014-01-01,36067000400,4.00,3402,2323,1655,,,,7.681,8.139,,,,,,,8.139
2014-01-01,36067000501,5.01,2156,1372,745,,,,9.216,9.184,,,,,,,9.184
2014-01-01,36067000600,6.00,3716,2514,1472,,,,8.548,8.667,,,,,,,8.667
2014-01-01,36067000700,7.00,1624,1220,862,,,,7.66,7.143,,,,,,,7.143
2014-01-01,36067000800,8.00,2726,1693,1289,,,,7.941,8,,,,,,,8
2014-01-01,36067000900,9.00,3019,2067,1662,,,,6.176,7.857,,,,,,,7.857
2014-01-01,36067001000,10.00,4464,2586,1763,,,,8.281,8.542,,,,,,,8.542
2014-01-01,36067001400,14.00,3765,1883,1009,,,,9.091,9.053,,,,,,,9.053
2014-01-01,36067001500,15.00,3125,1973,1192,,,,8.842,8.989,,,,,,,8.989
2014-01-01,36067001600,16.00,3130,1910,1105,,,,8.636,8.5,,,,,,,8.5
2014-01-01,36067001701,17.01,2553,1523,1010,,,,8.933,9.077,,,,,,,9.077
2014-01-01,36067001702,17.02,2305,1581,1301,,,,7.931,9.21,,,,,,,9.21
2014-01-01,36067001800,18.00,2712,1981,1548,,,,7.551,7.879,,,,,,,7.879
2014-01-01,36067001900,19.00,3755,2596,2025,,,,8.5,7.917,,,,,,,7.917
2014-01-01,36067002000,20.00,2037,1501,1002,,,,8.868,9.302,,,,,,,9.302
2014-01-01,36067002101,21.01,3072,1894,1146,,,,9.419,9.5,,,,,,,9.5
2014-01-01,36067002300,23.00,1684,1180,657,,,,9.032,8.966,,,,,,,8.966
2014-01-01,36067002400,24.00,1930,1213,798,,,,9.4,9.375,,,,,,,9.375
2014-01-01,36067002700,27.00,2010,1528,1080,,,,8.333,8.636,,,,,,,8.636
2014-01-01,36067002901,29.01,2745,2111,1850,,,,9.444,9.333,,,,,,,9.333
2014-01-01,36067003000,30.00,1827,1230,621,,,,9.452,9.452,,,,,,,9.452
2014-01-01,36067003200,32.00,2428,2255,970,,,,,,,,,,,,0
2014-01-01,36067003400,34.00,1213,907,486,,,,9.091,8.889,,,,,,,8.889
2014-01-01,36067003500,35.00,2291,1514,926,,,,8.846,9.375,,,,,,,9.375
2014-01-01,36067003601,36.01,2333,1563,984,,,,8.5,8.333,,,,,,,8.333
2014-01-01,36067003602,36.02,2215,1513,1130,,,,7.333,8.077,,,,,,,8.077
2014-01-01,36067003800,38.00,2431,1569,868,,,,9.265,9.107,,,,,,,9.107
2014-01-01,36067003900,39.00,3267,1945,997,,,,9.632,9.701,,,,,,,9.701
2014-01-01,36067004000,40.00,1803,1168,635,,,,9.333,9.231,,,,,,,9.231
2014-01-01,36067004200,42.00,2203,1177,691,,,,9.583,9.583,,,,,,,9.583
2014-01-01,36067004301,43.01,1592,1294,467,,,,10,10,,,,,,,10
2014-01-01,36067004302,43.02,6462,6215,1944,,,,10,10,,,,,,,10
2014-01-01,36067004400,44.00,2047,1815,930,,,,2.5,10,,,,,,,10
2014-01-01,36067004500,45.00,4144,3473,2353,,,,5.417,7.857,,,,,,,7.857
2014-01-01,36067004600,46.00,5129,3221,2267,,,,7.069,8.333,,,,,,,8.333
2014-01-01,36067004800,48.00,1602,974,775,,,,7.083,10,,,,,,,10
2014-01-01,36067004900,49.00,1409,786,499,,,,7.963,8.438,,,,,,,8.438
2014-01-01,36067005000,50.00,2662,1761,1489,,,,6.25,7.692,,,,,,,7.692
2014-01-01,36067005100,51.00,2119,1355,831,,,,9.403,9.375,,,,,,,9.375
2014-01-01,36067005200,52.00,2075,1323,708,,,,9.677,9.643,,,,,,,9.643
2014-01-01,36067005300,53.00,2004,998,476,,,,8.823,8.906,,,,,,,8.906
