tract,geoid
1,36067000100
2,36067000200
3,36067000300
4,36067000400
5.01,36067000501
6,36067000600
7,36067000700
8,36067000800
9,36067000900
10,36067001000
14,36067001400
15,36067001500
16,36067001600
17.01,36067001701
17.02,36067001702
18,36067001800
19,36067001900
20,36067002000
21.01,36067002101
23,36067002300
24,36067002400
27,36067002700
29.01,36067002901
30,36067003000
32,36067003200
34,36067003400
35,36067003500
36.01,36067003601
36.02,36067003602
38,36067003800
39,36067003900
40,36067004000
42,36067004200
43.01,36067004301
43.02,36067004302
44,36067004400
45,36067004500
46,36067004600
48,36067004800
49,36067004900
50,36067005000
51,36067005100
52,36067005200
53,36067005300
54,36067005400
55,36067005500
56.01,36067005601
56.02,36067005602
57,36067005700
58,36067005800
59,36067005900
60,36067006000
61.01,36067006101
61.02,36067006102
61.03,36067006103
