date,geoid,tpop,apop,wpop,prop,child_lead_aprc,crime_mprc,ela_fail_aprc,larceny_mprc,lead_aprc,unfit_tprc,wages_qprc,ta_case_mprc,ta_inds_mprc,unemployment_mprc,vacancy_aprc,violation_aprc,index
2014-01-01,36067000100,644,448,352,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3.8,5.7
2014-01-01,36067000200,3042,1919,1370,842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,15.8,21.3
2014-01-01,36067000300,1635,1048,778,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,0.8999999999999999,3
2014-01-01,36067000400,3402,2323,1655,1311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.2,6.2
2014-01-01,36067000501,2156,1372,745,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.899999999999999,46.400000000000006,58.3
2014-01-01,36067000600,3716,2514,1472,661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,26.900000000000002,34
2014-01-01,36067000700,1624,1220,862,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.000000000000001,26.1,33.1
2014-01-01,36067000800,2726,1693,1289,702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.800000000000001,12.8,18.6
2014-01-01,36067000900,3019,2067,1662,1074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,2.5
2014-01-01,36067001000,4464,2586,1763,920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1999999999999997,7.3,9.5
2014-01-01,36067001400,3765,1883,1009,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,40.5,52.7
2014-01-01,36067001500,3125,1973,1192,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,24,33.1
2014-01-01,36067001600,3130,1910,1105,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,30.599999999999998,36
2014-01-01,36067001701,2553,1523,1010,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,13.4,18.3
2014-01-01,36067001702,2305,1581,1301,799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,7.000000000000001,9.4
2014-01-01,36067001800,2712,1981,1548,876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7000000000000002,1.5,3.2
2014-01-01,36067001900,3755,2596,2025,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.5,3.1
2014-01-01,36067002000,2037,1501,1002,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.800000000000001,15.7,21.5
2014-01-01,36067002101,3072,1894,1146,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,29.4,41.6
2014-01-01,36067002300,1684,1180,657,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,32.6,51.2
2014-01-01,36067002400,1930,1213,798,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,25.3,33.3
2014-01-01,36067002700,2010,1528,1080,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,7.3999999999999995,9.7
2014-01-01,36067002901,2745,2111,1850,877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5999999999999996,5.1,8.7
2014-01-01,36067003000,1827,1230,621,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.299999999999999,41.5,51.8
2014-01-01,36067003200,2428,2255,970,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.299999999999999,71.39999999999999,85.7
2014-01-01,36067003400,1213,907,486,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,22.2,24.9
2014-01-01,36067003500,2291,1514,926,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,26.1,30.9
2014-01-01,36067003601,2333,1563,984,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,24.7,29.2
2014-01-01,36067003602,2215,1513,1130,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,16,17.9
2014-01-01,36067003800,2431,1569,868,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6000000000000005,26,32.6
2014-01-01,36067003900,3267,1945,997,638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7,45.300000000000004,63
2014-01-01,36067004000,1803,1168,635,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,27.3,46.4
2014-01-01,36067004200,2203,1177,691,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.299999999999999,5.2,15.5
2014-01-01,36067004301,1592,1294,467,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
2014-01-01,36067004302,6462,6215,1944,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,12.9,14.5
2014-01-01,36067004400,2047,1815,930,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,15.9,16.4
2014-01-01,36067004500,4144,3473,2353,1153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,7.1,8.4
2014-01-01,36067004600,5129,3221,2267,1810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2.3,3.1
2014-01-01,36067004800,1602,974,775,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,1.0999999999999999,3.5
2014-01-01,36067004900,1409,786,499,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,11.4,13.9
